# ILS - input1.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,553,0.009042,560.300000,23.754882
2,553,0.007233,560.300000,23.754882
3,553,0.028933,560.300000,23.754882
4,553,0.000000,560.300000,23.754882
5,553,0.000000,560.300000,23.754882
6,553,0.016275,560.300000,23.754882
7,553,0.012658,560.300000,23.754882
8,553,0.012658,560.300000,23.754882
9,553,0.019892,560.300000,23.754882
10,553,0.025316,560.300000,23.754882
